#JD Flux Flux_err
2458331.8078 1.0000159 0.00045
2458331.8287 1.0003301 0.00045
2458331.8495 0.99922724 0.00045
2458331.8703 0.99970116 0.00045
2458331.8912 0.99991807 0.00045
2458331.9120 0.99974239 0.00045
2458331.9328 0.99969069 0.00045
2458331.9537 0.99967506 0.00045
2458331.9745 0.99986228 0.00045
2458331.9953 1.0004291 0.00045
2458332.0162 0.99939308 0.00045
2458332.0370 1.0004274 0.00045
2458332.0578 0.99958937 0.00045
2458332.0787 1.0001500 0.00045
2458332.0995 1.0006214 0.00045
2458332.1203 1.0008875 0.00045
2458332.1412 1.0001499 0.00045
2458332.1620 1.0001413 0.00045
2458332.1828 0.99981609 0.00045
2458332.2037 1.0001472 0.00045
2458332.2245 1.0005579 0.00045
2458332.2453 0.99964655 0.00045
2458332.2662 0.99998525 0.00045
2458332.2870 0.99986651 0.00045
2458332.3078 0.99978885 0.00045
2458332.3287 0.99931565 0.00045
2458332.3495 1.0002996 0.00045
2458332.3703 0.99963912 0.00045
2458332.3912 1.0000822 0.00045
2458332.4328 0.99964561 0.00045
2458332.4537 0.99960106 0.00045
2458332.4745 0.99989377 0.00045
2458332.4953 0.99935632 0.00045
2458332.5162 1.0004424 0.00045
2458332.5370 1.0004861 0.00045
2458332.5578 0.99980875 0.00045
2458332.5787 0.99975921 0.00045
2458332.5995 0.99996691 0.00045
2458332.6203 1.0006751 0.00045
2458332.6412 1.0007942 0.00045
2458332.6620 0.99981918 0.00045
2458332.6828 1.0002306 0.00045
2458332.7037 0.99969488 0.00045
2458332.7245 0.99989764 0.00045
2458332.7453 1.0010526 0.00045
2458332.7662 1.0002852 0.00045
2458332.7870 0.99972579 0.00045
2458332.8078 0.99952415 0.00045
2458332.8287 0.99968837 0.00045
2458332.8703 0.99974336 0.00045
2458332.8912 1.0000695 0.00045
2458332.9120 1.0001518 0.00045
2458332.9328 0.99955257 0.00045
2458332.9537 0.99971639 0.00045
2458332.9745 1.0005812 0.00045
2458332.9953 1.0002701 0.00045
2458333.0162 0.99991080 0.00045
2458333.0370 0.99993925 0.00045
2458333.0578 1.0002261 0.00045
2458333.0787 0.99961978 0.00045
2458333.0995 1.0004617 0.00045
2458333.1203 1.0003760 0.00045
2458333.1412 0.99954002 0.00045
2458333.1620 0.99955696 0.00045
2458333.1829 1.0002156 0.00045
2458333.2037 1.0001819 0.00045
2458333.2245 0.99915169 0.00045
2458333.2454 0.99967910 0.00045
2458333.2662 1.0001958 0.00045
2458333.2870 1.0001747 0.00045
2458333.3079 1.0000080 0.00045
2458333.3287 1.0002609 0.00045
2458333.3495 1.0002199 0.00045
2458333.3704 0.99979519 0.00045
2458333.3912 0.99938446 0.00045
2458333.4120 0.99978263 0.00045
2458333.4329 0.99993550 0.00045
2458333.4537 1.0003107 0.00045
2458333.4745 1.0002787 0.00045
2458333.4954 0.99983784 0.00045
2458333.5162 1.0000441 0.00045
2458333.5370 1.0007250 0.00045
2458333.5579 0.99997863 0.00045
2458333.5787 1.0004449 0.00045
2458333.5995 1.0002032 0.00045
2458333.6204 0.99957158 0.00045
2458333.6412 1.0000675 0.00045
2458333.6620 0.99996089 0.00045
2458333.6829 0.99951595 0.00045
2458333.7037 1.0003411 0.00045
2458333.7245 0.99984240 0.00045
2458333.7454 1.0008302 0.00045
2458333.7662 0.99944792 0.00045
2458333.7870 0.99962555 0.00045
2458333.8079 1.0001268 0.00045
2458333.8287 0.99987937 0.00045
2458333.8495 0.99959606 0.00045
2458333.8704 0.99969812 0.00045
2458333.8912 1.0006917 0.00045
2458333.9120 1.0000803 0.00045
2458333.9329 1.0002899 0.00045
2458333.9537 0.99966965 0.00045
2458333.9745 1.0000589 0.00045
2458333.9954 0.99997980 0.00045
2458334.0162 0.99983198 0.00045
2458334.0370 1.0003207 0.00045
2458334.0579 1.0001264 0.00045
2458334.0787 1.0005540 0.00045
2458334.0995 0.99902241 0.00045
2458334.1204 1.0000790 0.00045
2458334.1412 0.99983232 0.00045
2458334.1620 0.99989527 0.00045
2458334.1829 0.99946257 0.00045
2458334.2037 1.0000361 0.00045
2458334.2245 0.99970067 0.00045
2458334.2454 1.0003771 0.00045
2458334.2662 1.0000652 0.00045
2458334.2870 1.0008482 0.00045
2458334.3079 0.99996357 0.00045
2458334.3287 0.99936912 0.00045
2458334.3495 1.0000386 0.00045
2458334.3704 1.0007252 0.00045
2458334.3912 1.0002086 0.00045
2458334.4120 1.0006915 0.00045
2458334.4329 0.99975252 0.00045
2458334.4537 1.0003123 0.00045
2458334.4745 0.99978576 0.00045
2458334.4954 0.99925827 0.00045
2458334.5162 0.99966843 0.00045
2458334.5370 1.0002620 0.00045
2458334.5579 0.99979167 0.00045
2458334.5787 0.99974535 0.00045
2458334.5995 0.99979647 0.00045
2458334.6204 0.99947321 0.00045
2458334.6412 1.0001511 0.00045
2458334.6620 0.99971742 0.00045
2458334.6829 1.0001636 0.00045
2458334.7037 1.0003648 0.00045
2458334.7245 0.99976445 0.00045
2458334.7454 1.0001040 0.00045
2458334.7662 0.99998108 0.00045
2458334.7870 1.0006564 0.00045
2458334.8079 1.0000756 0.00045
2458334.8287 1.0004854 0.00045
2458334.8495 1.0004846 0.00045
2458334.8704 0.99970030 0.00045
2458334.8912 0.99975534 0.00045
2458334.9120 0.99998933 0.00045
2458334.9329 1.0006348 0.00045
2458334.9537 0.99959375 0.00045
2458334.9745 0.99953531 0.00045
2458335.0162 0.99827367 0.00045
2458335.0370 0.99986779 0.00045
2458335.0579 0.99986330 0.00045
2458335.0787 1.0003581 0.00045
2458335.0995 0.99959499 0.00045
2458335.1204 0.99916876 0.00045
2458335.1412 0.99981868 0.00045
2458335.1620 1.0006825 0.00045
2458335.1829 0.99978328 0.00045
2458335.2037 1.0008094 0.00045
2458335.2245 0.99952923 0.00045
2458335.2454 1.0005303 0.00045
2458335.2662 1.0001147 0.00045
2458335.2870 0.99981896 0.00045
2458335.3079 0.99965730 0.00045
2458335.3287 1.0001104 0.00045
2458335.3704 0.99967366 0.00045
2458335.3912 1.0004255 0.00045
2458335.4120 1.0002312 0.00045
2458335.4329 0.99953843 0.00045
2458335.4537 0.99991403 0.00045
2458335.4745 1.0002537 0.00045
2458335.4954 1.0005991 0.00045
2458335.5162 1.0000698 0.00045
2458335.5370 1.0012892 0.00045
2458335.5579 1.0000108 0.00045
2458335.5787 0.99966580 0.00045
2458335.5995 0.99935709 0.00045
2458335.6204 1.0000900 0.00045
2458335.6412 0.99989957 0.00045
2458335.6620 1.0000239 0.00045
2458335.6829 0.99993540 0.00045
2458335.7037 1.0000756 0.00045
2458335.7245 1.0002466 0.00045
2458335.7454 0.99977454 0.00045
2458335.7662 0.99952183 0.00045
2458335.7870 1.0003326 0.00045
2458335.8079 0.99969047 0.00045
2458335.8287 1.0003319 0.00045
2458335.8495 1.0001154 0.00045
2458335.8704 0.99963768 0.00045
2458335.8912 1.0008209 0.00045
2458335.9120 1.0002511 0.00045
2458335.9329 1.0000763 0.00045
2458335.9537 1.0000453 0.00045
2458335.9745 0.99997287 0.00045
2458335.9954 1.0006194 0.00045
2458336.0162 0.99981589 0.00045
2458336.0370 0.99987170 0.00045
2458336.0579 0.99965791 0.00045
2458336.0787 0.99983716 0.00045
2458336.0995 0.99989730 0.00045
2458336.1204 0.99980699 0.00045
2458336.1412 1.0002809 0.00045
2458336.1620 0.99961700 0.00045
2458336.1829 0.99978273 0.00045
2458336.2037 0.99975419 0.00045
2458336.2245 0.99983968 0.00045
2458336.2454 1.0001196 0.00045
2458336.2662 0.99929466 0.00045
2458336.2870 1.0000761 0.00045
2458336.3079 0.99770070 0.00045
2458336.3287 0.99705217 0.00045
2458336.3495 0.99604141 0.00045
2458336.3704 0.99618114 0.00045
2458336.3912 0.99687140 0.00045
2458336.4120 0.99631376 0.00045
2458336.4329 0.99607016 0.00045
2458336.4537 0.99552059 0.00045
2458336.4745 0.99794597 0.00045
2458336.4954 0.99915833 0.00045
2458336.5162 0.99980582 0.00045
2458336.5370 0.99933756 0.00045
2458336.5579 1.0003187 0.00045
2458336.5787 0.99992811 0.00045
2458336.5995 1.0007523 0.00045
2458336.6204 0.99996090 0.00045
2458336.6412 1.0007219 0.00045
2458336.6620 0.99973588 0.00045
2458336.6829 0.99964235 0.00045
2458336.7245 0.99957197 0.00045
2458336.7454 0.99953163 0.00045
2458336.7662 1.0003052 0.00045
2458336.7870 1.0005062 0.00045
2458336.8079 1.0007911 0.00045
2458336.8287 0.99959511 0.00045
2458336.8495 0.99928332 0.00045
2458336.8704 1.0001020 0.00045
2458336.8912 0.99953810 0.00045
2458336.9120 0.99990342 0.00045
2458336.9329 1.0001158 0.00045
2458336.9537 0.99998341 0.00045
2458336.9745 0.99926486 0.00045
2458336.9954 1.0004588 0.00045
2458337.0162 0.99975291 0.00045
2458337.0370 1.0003788 0.00045
2458337.0579 0.99968695 0.00045
2458337.0787 1.0000167 0.00045
2458337.0995 1.0001657 0.00045
2458337.1204 1.0003694 0.00045
2458337.1412 0.99994272 0.00045
2458337.1620 1.0006561 0.00045
2458337.1829 0.99969368 0.00045
2458337.2037 0.99984571 0.00045
2458337.2245 0.99924825 0.00045
2458337.2454 1.0004406 0.00045
2458337.2662 0.99946073 0.00045
2458337.2870 1.0009929 0.00045
2458337.3079 1.0004611 0.00045
2458337.3287 0.99998563 0.00045
2458337.3495 1.0008068 0.00045
2458337.3704 0.99990352 0.00045
2458337.3912 0.99979236 0.00045
2458337.4120 0.99972405 0.00045
2458337.4329 0.99983673 0.00045
2458337.4537 0.99906983 0.00045
2458337.4745 0.99973807 0.00045
